feature_value,shap_value,sample_index,feature_name,feature_chinese
4.0,-36.142592932023106,162,Week_of_Month,周数
4.0,-30.95744321672246,163,Week_of_Month,周数
4.0,-50.847549406345934,164,Week_of_Month,周数
4.0,-25.648397598098963,165,Week_of_Month,周数
4.0,2.836770699126646,166,Week_of_Month,周数
4.0,-26.52435786506161,167,Week_of_Month,周数
4.0,44.31699504643679,168,Week_of_Month,周数
4.0,51.54979244068265,169,Week_of_Month,周数
4.0,40.20410956531763,170,Week_of_Month,周数
4.0,51.23928726866841,171,Week_of_Month,周数
4.0,81.80583496607841,172,Week_of_Month,周数
4.0,62.03580111734569,173,Week_of_Month,周数
4.0,35.172354377508164,174,Week_of_Month,周数
4.0,35.21427205473184,175,Week_of_Month,周数
4.0,27.689657170027495,176,Week_of_Month,周数
4.0,16.879696351140737,177,Week_of_Month,周数
4.0,12.72827332392335,178,Week_of_Month,周数
4.0,-2.424662303328514,179,Week_of_Month,周数
4.0,-4.436602801829577,180,Week_of_Month,周数
4.0,-7.064573916234076,181,Week_of_Month,周数
4.0,-3.9325421380624177,182,Week_of_Month,周数
4.0,-5.290442834366113,183,Week_of_Month,周数
4.0,-20.664339315891265,184,Week_of_Month,周数
4.0,-21.938156436216087,185,Week_of_Month,周数
4.0,-38.91484423382208,186,Week_of_Month,周数
4.0,-45.43280374554917,187,Week_of_Month,周数
4.0,-50.99426232850179,188,Week_of_Month,周数
4.0,-20.061016833987086,189,Week_of_Month,周数
4.0,-17.59158705247566,190,Week_of_Month,周数
4.0,-28.3251914874278,191,Week_of_Month,周数
4.0,32.2743597914651,192,Week_of_Month,周数
4.0,38.56016562134959,193,Week_of_Month,周数
4.0,40.99158540830016,194,Week_of_Month,周数
4.0,44.77723304010928,195,Week_of_Month,周数
4.0,44.57806344024837,196,Week_of_Month,周数
4.0,46.681121615804734,197,Week_of_Month,周数
4.0,50.594033329635856,198,Week_of_Month,周数
4.0,54.335224968381226,199,Week_of_Month,周数
4.0,58.20452005298808,200,Week_of_Month,周数
4.0,74.80571067096666,201,Week_of_Month,周数
4.0,77.16513292837888,202,Week_of_Month,周数
4.0,73.85049003761262,203,Week_of_Month,周数
4.0,67.13105977382511,204,Week_of_Month,周数
4.0,64.1913881700486,205,Week_of_Month,周数
4.0,66.79895048066973,206,Week_of_Month,周数
4.0,68.56237483968958,207,Week_of_Month,周数
4.0,50.66389855055139,208,Week_of_Month,周数
4.0,41.44329646512866,209,Week_of_Month,周数
4.0,32.91009035766125,210,Week_of_Month,周数
4.0,39.25603361263871,211,Week_of_Month,周数
4.0,10.687031872719526,212,Week_of_Month,周数
4.0,2.7716836647689345,213,Week_of_Month,周数
4.0,6.317810075134039,214,Week_of_Month,周数
4.0,-12.398139837384225,215,Week_of_Month,周数
4.0,54.70469837628305,216,Week_of_Month,周数
4.0,63.25473711635917,217,Week_of_Month,周数
4.0,64.03372880470008,218,Week_of_Month,周数
4.0,86.38227463208139,219,Week_of_Month,周数
4.0,64.28110708728433,220,Week_of_Month,周数
4.0,59.971029930561784,221,Week_of_Month,周数
4.0,70.11775037948043,222,Week_of_Month,周数
4.0,82.25785001872107,223,Week_of_Month,周数
4.0,75.1155707879737,224,Week_of_Month,周数
4.0,93.57800198310986,225,Week_of_Month,周数
4.0,116.76019556082785,226,Week_of_Month,周数
4.0,119.40959630057216,227,Week_of_Month,周数
4.0,116.75583760276437,228,Week_of_Month,周数
4.0,121.19775920659303,229,Week_of_Month,周数
4.0,129.57405445836486,230,Week_of_Month,周数
4.0,144.78427043141798,231,Week_of_Month,周数
4.0,145.70867726642638,232,Week_of_Month,周数
4.0,138.0286021388322,233,Week_of_Month,周数
4.0,139.94439779400827,234,Week_of_Month,周数
4.0,139.5363255352527,235,Week_of_Month,周数
4.0,129.63110114105046,236,Week_of_Month,周数
4.0,110.56056555241346,237,Week_of_Month,周数
4.0,101.83561821751296,238,Week_of_Month,周数
4.0,94.48758831769229,239,Week_of_Month,周数
4.0,144.6353899088502,240,Week_of_Month,周数
4.0,142.20352373927832,241,Week_of_Month,周数
4.0,153.90286323048176,242,Week_of_Month,周数
4.0,155.20070642843842,243,Week_of_Month,周数
4.0,175.20587368130683,244,Week_of_Month,周数
4.0,217.17459629565477,245,Week_of_Month,周数
4.0,253.25942595660686,246,Week_of_Month,周数
4.0,252.39070138081908,247,Week_of_Month,周数
4.0,247.49315162207932,248,Week_of_Month,周数
4.0,243.58218885567038,249,Week_of_Month,周数
4.0,264.8598665172234,250,Week_of_Month,周数
4.0,266.61578468423335,251,Week_of_Month,周数
4.0,274.80570318449287,252,Week_of_Month,周数
4.0,274.42127373788503,253,Week_of_Month,周数
4.0,260.6785492811725,254,Week_of_Month,周数
4.0,262.0023698099144,255,Week_of_Month,周数
4.0,237.11721391247585,256,Week_of_Month,周数
4.0,240.00068821652792,257,Week_of_Month,周数
4.0,243.68853052913212,258,Week_of_Month,周数
4.0,235.52224330483935,259,Week_of_Month,周数
4.0,224.6016814135667,260,Week_of_Month,周数
4.0,174.25996726056562,261,Week_of_Month,周数
4.0,159.60071411984973,262,Week_of_Month,周数
4.0,166.91024644206277,263,Week_of_Month,周数
4.0,116.92953024905175,264,Week_of_Month,周数
4.0,125.20879620645195,265,Week_of_Month,周数
4.0,123.97450889084489,266,Week_of_Month,周数
4.0,122.10495839253068,267,Week_of_Month,周数
