feature_value,shap_value,sample_index,feature_name,feature_chinese
20.0,272.5407835588418,260,Hour,小时
20.0,230.67254986742512,284,Hour,小时
20.0,277.54236416237427,308,Hour,小时
20.0,289.28470753336325,332,Hour,小时
20.0,336.49468402592464,356,Hour,小时
20.0,356.7275702371821,380,Hour,小时
20.0,378.81031646892427,404,Hour,小时
20.0,280.10037272661924,428,Hour,小时
20.0,309.73112231753765,452,Hour,小时
20.0,352.69852563593537,476,Hour,小时
20.0,361.51945980962364,500,Hour,小时
21.0,-20.039887492842972,21,Hour,小时
21.0,130.03379833204673,45,Hour,小时
21.0,134.11314422806726,69,Hour,小时
21.0,3.9395515223219992,93,Hour,小时
21.0,5.786980643458665,117,Hour,小时
21.0,20.225282399784774,141,Hour,小时
21.0,-9.358223354928196,165,Hour,小时
21.0,-2.1712568067014217,189,Hour,小时
21.0,98.56477992476896,213,Hour,小时
21.0,204.9006680911593,237,Hour,小时
21.0,51.95793178262189,261,Hour,小时
21.0,57.02722315048799,285,Hour,小时
21.0,53.64257618954405,309,Hour,小时
21.0,80.09959951004014,333,Hour,小时
21.0,158.01375395467505,357,Hour,小时
21.0,174.53821774896235,381,Hour,小时
21.0,172.28899988729506,405,Hour,小时
21.0,123.36272880341858,429,Hour,小时
21.0,129.19992659773678,453,Hour,小时
21.0,90.65175412021577,477,Hour,小时
21.0,58.984462162368,501,Hour,小时
22.0,-192.13126005858183,22,Hour,小时
22.0,-55.97661867549643,46,Hour,小时
22.0,-71.2402475203015,70,Hour,小时
22.0,-208.42082030586897,94,Hour,小时
22.0,-221.40907695733011,118,Hour,小时
22.0,-209.10654646875338,142,Hour,小时
22.0,-241.18250622563065,166,Hour,小时
22.0,-233.57151941973717,190,Hour,小时
22.0,-85.45381879346445,214,Hour,小时
22.0,7.743282730672508,238,Hour,小时
22.0,-124.91652390618809,262,Hour,小时
22.0,-187.4615814933367,286,Hour,小时
22.0,-117.84187429179437,310,Hour,小时
22.0,-105.82741243621335,334,Hour,小时
22.0,16.79571286385879,358,Hour,小时
22.0,-24.136312254592777,382,Hour,小时
22.0,-12.019467359632253,406,Hour,小时
22.0,-102.33729880288243,430,Hour,小时
22.0,-87.91280135232955,454,Hour,小时
22.0,-153.2563569573313,478,Hour,小时
22.0,-154.54826284099371,502,Hour,小时
23.0,-457.2411707846075,23,Hour,小时
23.0,-312.882378685791,47,Hour,小时
23.0,-326.0699606029317,71,Hour,小时
23.0,-465.5650107040629,95,Hour,小时
23.0,-463.2319225862995,119,Hour,小时
23.0,-462.9606439696066,143,Hour,小时
23.0,-487.89521476287393,167,Hour,小时
23.0,-495.6399961638823,191,Hour,小时
23.0,-329.1327522439696,215,Hour,小时
23.0,-257.16903438687325,239,Hour,小时
23.0,-435.3851268195547,263,Hour,小时
23.0,-429.2416600961704,287,Hour,小时
23.0,-358.900464965757,311,Hour,小时
23.0,-335.43074422588575,335,Hour,小时
23.0,-220.3882492800616,359,Hour,小时
23.0,-253.2226688283682,383,Hour,小时
23.0,-233.330602496285,407,Hour,小时
23.0,-342.7047940890491,431,Hour,小时
23.0,-339.45749086227266,455,Hour,小时
23.0,-411.7571277472749,479,Hour,小时
23.0,-454.5335503032431,503,Hour,小时
